"company_type","name","type","Địa chỉ","street","street2","city","zip","country_id","vat","function","phone","email","title","user_id","company_id","pricelist","property_account_payable_id","property_account_receivable_id"
"person","Nguyễn Cúc Trình Bá","contact","số 407, đường Nguyễn Hợp Hùng, thị trấn Nhà Bè, huyện Nhà Bè, thành phố Hồ Chí Minh","số 407, đường Nguyễn Hợp Hùng","thị trấn Nhà Bè, huyện Nhà Bè","Hồ Chí Minh","700000","84","","Chủ shop","0914392873","nguyencuctrinhba@gmail.com","Cô","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Nguyễn Kim Trầm Tịnh","contact","số 516, hẻm 46, đường Nguyễn Lệ Duyên, phường Hiệp Bình Chánh, quận Thủ Đức, thành phố Hồ Chí Minh","số 516, hẻm 46","đường Nguyễn Lệ Duyên, phường Hiệp Bình Chánh, quận Thủ Đức","Hồ Chí Minh","700000","84","","Chủ shop","0904166075","nguyenkimtramtinh@gmail.com","Anh","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Huỳnh Cát","contact","số 363, hẻm 56, đường Nguyễn Lệ Quỳnh, phường Yên Nghĩa, quận Hà Đông, thành phố Hà Nội","số 363, hẻm 56","đường Nguyễn Lệ Quỳnh, phường Yên Nghĩa, quận Hà Đông","Hà Nội","100000","84","","Chủ shop","0999132921","huynhcat@gmail.com","Cô","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Nguyễn Lập","contact","số 110, đường Hà Bảo, phường Phương Liệt, quận Thanh Xuân, thành phố Hà Nội","số 110, đường Hà Bảo","phường Phương Liệt, quận Thanh Xuân","Hà Nội","100000","84","","Chủ shop","0938645560","nguyenlap@gmail.com","Anh","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Phạm Nhân Ánh","contact","số 731, xóm 6, thôn 5, xã Phong Phú, huyện Bình Chánh, thành phố Hồ Chí Minh","số 731, xóm 6","thôn 5, xã Phong Phú, huyện Bình Chánh","Hồ Chí Minh","700000","84","","Chủ shop","0993978742","phamnhananh@gmail.com","Cô","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Nguyễn Huỳnh Việt","contact","số 860, đường Trần Huyền Tùng, phường Bình Thuận, quận Hải Châu, thành phố Đà Nẵng","số 860, đường Trần Huyền Tùng","phường Bình Thuận, quận Hải Châu","Đà Nẵng","550000","84","","Chủ shop","0960357657","nguyenhuynhviet@gmail.com","Cô","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Phan Ca Thúy","contact","số 323, đường Lê Ðôn Quế, phường 17, quận Bình Thạnh, thành phố Hồ Chí Minh","số 323, đường Lê Ðôn Quế","phường 17, quận Bình Thạnh","Hồ Chí Minh","700000","84","","Chủ shop","0932906851","phancathuy@gmail.com","Anh","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Dương Hằng Mộng","contact","số 789, hẻm 98, đường Lê Quyền Thy, thị trấn Chúc Sơn, huyện Chương Mỹ, thành phố Hà Nội","số 789, hẻm 98","đường Lê Quyền Thy, thị trấn Chúc Sơn, huyện Chương Mỹ","Hà Nội","100000","84","","Chủ shop","0946256938","duonghangmong@gmail.com","Anh","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Nguyễn Thịnh Bích Hữu","contact","số 403, xóm Cần Bình, thôn 6, xã Thạnh Mỹ, huyện Vĩnh Thạnh, thành phố Cần Thơ","số 403, xóm Cần Bình","thôn 6, xã Thạnh Mỹ, huyện Vĩnh Thạnh","Cần Thơ","900000","84","","Chủ shop","0891057057","nguyenthinhbichhuu@gmail.com","Anh","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Lê Tuấn Nhiên Hương","contact","số 601, xóm 3, thôn 2, xã Cự Khê, huyện Thanh Oai, thành phố Hà Nội","số 601, xóm 3","thôn 2, xã Cự Khê, huyện Thanh Oai","Hà Nội","100000","84","","Chủ shop","0943260040","letuannhienhuong@gmail.com","Cô","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Nguyễn Yến Khả","contact","số 73, đường Hứa Dương Kiến, phường Linh Tây, quận Thủ Đức, thành phố Hồ Chí Minh","số 73, đường Hứa Dương Kiến","phường Linh Tây, quận Thủ Đức","Hồ Chí Minh","700000","84","","Chủ shop","0994568087","nguyenyenkha@gmail.com","Anh","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Trần Cương Hạo","contact","số 248, xóm 7, thôn 9, xã Hưng Long, huyện Bình Chánh, thành phố Hồ Chí Minh","số 248, xóm 7","thôn 9, xã Hưng Long, huyện Bình Chánh","Hồ Chí Minh","700000","84","","Chủ shop","0901087039","trancuonghao@gmail.com","Anh","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Ngô Hiệp Quyết","contact","số 484, đường Nguyễn Cương Quỳnh, phường An Nghiệp, quận Ninh Kiều, thành phố Cần Thơ","số 484, đường Nguyễn Cương Quỳnh","phường An Nghiệp, quận Ninh Kiều","Cần Thơ","900000","84","","Chủ shop","0939816199","ngohiepquyet@gmail.com","Cô","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Phạm Vĩnh Liên Ðăng","contact","số 851, đường Trần Hãn Kỳ, phường Quan Hoa, quận Cầu Giấy, thành phố Hà Nội","số 851, đường Trần Hãn Kỳ","phường Quan Hoa, quận Cầu Giấy","Hà Nội","100000","84","","Chủ shop","0931024844","phamvinhlienðang@gmail.com","Cô","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Nguyễn Cường","contact","số 131, đường Võ Trà Ngọc, phường Trường Thọ, quận Thủ Đức, thành phố Hồ Chí Minh","số 131, đường Võ Trà Ngọc","phường Trường Thọ, quận Thủ Đức","Hồ Chí Minh","700000","84","","Chủ shop","0997700460","nguyencuong@gmail.com","Cô","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
