"company_type","name","type","Địa chỉ","street","street2","city","zip","country_id","vat","function","phone","email","title","user_id","company_id","pricelist","property_account_payable_id","property_account_receivable_id"
"person","Nguyễn Cúc Chế","contact","số 874, xóm 1, thôn Thái Ân, xã Kim Lũ, huyện Sóc Sơn, thành phố Hà Nội","số 874, xóm 1","thôn Thái Ân, xã Kim Lũ, huyện Sóc Sơn","Hà Nội","100000","84","","Chủ shop","0993063034","nguyencucche@gmail.com","Anh","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Hồ Thanh Kim Vũ","contact","số 489, xóm 1, thôn 9, xã Quy Đức, huyện Bình Chánh, thành phố Hồ Chí Minh","số 489, xóm 1","thôn 9, xã Quy Đức, huyện Bình Chánh","Hồ Chí Minh","700000","84","","Chủ shop","0995319086","hothanhkimvu@gmail.com","Cô","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Hoàng Nga Như","contact","số 951, đường Nguyễn Lan Yên, phường Giang Biên, quận Long Biên, thành phố Hà Nội","số 951, đường Nguyễn Lan Yên","phường Giang Biên, quận Long Biên","Hà Nội","100000","84","","Chủ shop","0997591061","hoangnganhu@gmail.com","Anh","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Võ Trân Bách","contact","số 600, đường Vũ Nhi Khánh, phường Linh Tây, quận Thủ Đức, thành phố Hồ Chí Minh","số 600, đường Vũ Nhi Khánh","phường Linh Tây, quận Thủ Đức","Hồ Chí Minh","700000","84","","Chủ shop","0992888687","votranbach@gmail.com","Anh","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Nguyễn Sơn Thùy Dạ","contact","số 751, hẻm Sương Dương, đường Nguyễn Huệ Thùy, phường Phú Hữu, quận Quận 9, thành phố Hồ Chí Minh","số 751, hẻm Sương Dương","đường Nguyễn Huệ Thùy, phường Phú Hữu, quận Quận 9","Hồ Chí Minh","700000","84","","Chủ shop","0959286637","nguyensonthuyda@gmail.com","Cô","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Lê Nhã Tiên Hưng","contact","số 827, đường Thuận Hoa, phường Kim Mã, quận Ba Đình, thành phố Hà Nội","số 827, đường Thuận Hoa","phường Kim Mã, quận Ba Đình","Hà Nội","100000","84","","Chủ shop","0921195167","lenhatienhung@gmail.com","Cô","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Nguyễn Trương Danh","contact","số 971, xóm 5, thôn 1, xã Thanh Xuân, huyện Sóc Sơn, thành phố Hà Nội","số 971, xóm 5","thôn 1, xã Thanh Xuân, huyện Sóc Sơn","Hà Nội","100000","84","","Chủ shop","0945863880","nguyentruongdanh@gmail.com","Anh","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Nguyễn Lương","contact","số 977, xóm 10, thôn Phúc Thanh, xã Vân Hà, huyện Đông Anh, thành phố Hà Nội","số 977, xóm 10","thôn Phúc Thanh, xã Vân Hà, huyện Đông Anh","Hà Nội","100000","84","","Chủ shop","0861303484","nguyenluong@gmail.com","Cô","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Nguyễn Hiếu","contact","số 772, hẻm Triều Thảo, đường Ngà Huyền, phường Đông Hải 1, quận Hải An, thành phố Hải Phòng","số 772, hẻm Triều Thảo","đường Ngà Huyền, phường Đông Hải 1, quận Hải An","Hải Phòng","180000","84","","Chủ shop","0934296346","nguyenhieu@gmail.com","Cô","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Huỳnh Kiều Tạ","contact","số 564, xóm Lộc Cường, thôn 2, xã Hồng Phong, huyện An Dương, thành phố Hải Phòng","số 564, xóm Lộc Cường","thôn 2, xã Hồng Phong, huyện An Dương","Hải Phòng","180000","84","","Chủ shop","0991752222","huynhkieuta@gmail.com","Anh","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
